id,name,type,effects,ailment,flavor,location,thc,cbd,Citrus,Sweet,Earthy,Pine,Skunk,Berry,Lemon,Lime,Blueberry,Strawberry,Mango,Rose,Pepper,Depression,Pain,Insomnia,Stress,Lack of Appetite,Muscle Spasms,Nausea,Inflammation,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry Mouth,Focused,Energetic,Paranoid,Anxious,Hungry,Talkative,Creative,Type,Rating,Effects,Flavor,Description
1,100 OG,Hybrid,Focused,Depression,Citrus,Unknown,127,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,hybrid,4.0,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side."
20,ALOHA,Hybrid,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious","Depression, Stress, Pain","Sweet, Citrus",Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,sativa,4.2,"Energetic,Uplifted,Happy,Creative,Focused","Tropical,Sweet,Citrus","Aloha is a sativa strain that leaves users with an upbeat, energetic buzz and may also be helpful in treating pain such as migraines. Aloha’s flowers will be large and fluffy, with plenty of room for white wispy hairs and sparkling crystals. The aroma of this strain is that of grass and citrus for a fresh experience that may have you thinking of your next island getaway. Its sativa effects can be a little much for some users, so those who are looking for less mental stimulation should be warned."
24,AMNESIA HAZE,Hybrid,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Lemon, Earthy",Unknown,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,sativa,4.3,"Happy,Euphoric,Uplifted,Energetic,Creative","Earthy,Citrus,Lemon","With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you won’t soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam."
35,BC SWEET TOOTH,Hybrid,"Uplifted, Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Nausea, Pain","Sweet, Honey",Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,indica,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric","Sweet,Honey,Tree,Fruit","Developed in British Columbia by BC Bud Depot, BC Sweet tooth is an indica-dominant hybrid known for its quick flowering time and candy taste.  A hardy plant, this strain can be grown outdoors where it can flower in under 7 weeks, but it prefers the indoors where it may flower as soon as 6 weeks. The result of a cross with earlier generations of BC Sweet Tooth and classic Sweet Tooth, these sugary flowers are sure to satisfy your craving. The crystalline buds have a strong, sweet smell with a hint of citrus, and users report that this treat satisfies with a long-lasting, potent feeling that hits fast."
36,BERKELEY,Hybrid,"Talkative, Happy, Uplifted, Energetic, Focused, Anxious, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Pain","Citrus, Sweet",Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,sativa,4.3,"Talkative,Happy,Uplifted,Energetic,Focused","Citrus,Sweet,Pungent","Berkeley is rumored to be the super-potent botany project of a student at the prestigious California university of the same name. This strain is certainly an overachiever with its extremely high THC content and lightning fast flowering time—as short as 4 weeks! Berkeley is known to give energetic, buzzy effects that are typical of sativas. This strain will stimulate your mind, but beware, it may cause anxiety for some users."
37,BERRY WHITE,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia","Berry, Sweet, Blueberry","Sherman Oaks, CA",1600,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Blueberry","Berry White is a hybrid strain that is the offspring of parents of near-celebrity status in the cannabis world: Blueberry and White Widow. Berry is famous in its own right for its even, balanced effects that offer relaxation from stress and anxiety along with a sense of euphoria. This strain is perfect for inspiring an upbeat mood and may lead to conversation and creative pursuits. This plant’s flowers have a light sour berry and pine smell and a fresh taste similar to their scent. They generally have a strong blue coloring contrasted by orange hairs."
38,BIG BUD,Hybrid,"Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Muscle Spasms",Earthy,Unknown,127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,indica,3.9,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Earthy,Skunk,Flowery","Developed in the USA before being brought to the Netherlands in the 1980s to survive the War on Drugs, Big Bud is a legend among growers for its high yields in the garden. Preserved to this day by Dutch breeder Sensi Seeds, this indica produces massive buds with very few leaves, unmatched by any other cannabis variety. With an earthy and spicy aroma, Big Bud delivers deeply relaxing full-body effects true to its indica lineage."
40,BIG WRECK,Hybrid,"Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Lack of Appetite, Muscle Spasms",Earthy,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,indica,4.1,"Relaxed,Tingly,Euphoric,Happy,Uplifted","Earthy,Pungent,Nutty",Big Wreck is the ndica-dominant cross of Big Bud and Trainwreck. This chunky combination offers functional relaxation with an uplifted mental buzz that some might describe as creative. This strain becomes very sedative with continuous use and may also stimulate your appetite. 
43,BLACK DOMINA,Hybrid,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia, Lack of Appetite","Pine, Pepper",Unknown,127,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Pepper,Pine,Woody","Working with four prime examples of Cannabis Afghanica led Sensi Seeds to blend the world's finest indica genetics into a rapid-flowering, crystal-coated hybrid: Black Domina. Combining desirable features from the Northern Lights, Ortega, Hash Plant, and Afghani SA has made this strain equally suited to the needs of commercial growers, connoisseurs, and first-time cultivators. Black Domina delivers a spicy pepper aroma alongside overwhelming relaxation and sleepiness, making this strain ideal for late night use."
49,BLACKBERRY KUSH,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Nausea","Berry, Sweet, Earthy",", CA",1300,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Berry,Sweet,Earthy","This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs. Plants will flower at 7-8 weeks and are not particularly high yielders, but the dense, hard nugs have crystals throughout. Blackberry Kush tends to have a hashy, jet fuel smell and taste that is balanced by sweet berries. Blackberry Kush is often recommended for the treatment of pain thanks to its strong indica body effects. "
51,BLUE BAYOU,Hybrid,"Uplifted, Creative, Happy, Sleepy, Dry Mouth","Nausea, Stress, Depression",Sweet,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,sativa,2.8,"Giggly,Uplifted,Creative,Happy,Sleepy",Sweet,"Blue Bayou can only be described as a comprehensive psychoactive experience. A true sativa, this peppy flower is optimal for a variety of cerebral ailments; patients report mood elevation and increased focus in particular. This strain may be suitable for a variety of applications including creative pursuits, focused work, or introspective exploration."
53,BLUE CHEESE,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression",Blueberry,Unknown,127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Blue,Cheese,Cheese,Blueberry","Blue Cheese is an indica cross created by crossing a Blueberry male with an original U.K. Cheese (a Skunk #1 phenotype) female. The sweet and savory smells of berry and blue cheese combine to create a creamy, unique flavor reminiscent of the original Cheese. The heavy indica effects will help you feel relaxed at the end of the day and can provide relief for muscle spasms, pain, and stress."
